,Year,Country,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53
0,2015,Albania,326.430248361284,575.937356625347,486.19369317858917,626.2332559196838,534.5172042653049,522.6828750195787,482.24891676334704,526.6276514348207,572.9787743139154,472.3869757252418,437.8701820918734,453.6492877528418,453.6492877528418,411.2429412889892,439.84257029949447,447.7321231299787,470.41458751762076,394.4776415242103,409.2705530813682,371.79517713656816,389.54667100515763,347.14032454130506,390.53286510896817,344.18174222987346,367.8504007213261,342.2093540222524,357.9884596832208,362.9194302022735,413.21532949661025,592.702656390126,466.4698111023786,373.7675653441892,368.8365948251366,352.07129506035767,396.4500297318313,366.86420661751555,372.7813712403787,360.9470419946524,328.40263656890505,389.54667100515763,340.23696581463133,321.4992778422314,384.615700486105,329.3888306727156,393.49144742039977,395.4638356280208,413.21532949661025,395.4638356280208,416.17391180804185,422.091076430905,445.7597349223576,429.9806292613892,493.09705190526284
1,2015,Austria,1766.749422883785,1833.1062087197956,1904.6471184492445,1857.9900034082996,1904.6471184492445,1996.924523752447,2065.354959145833,2094.3860529490876,1952.3410582688773,1913.9785414574337,1827.9220848263574,1758.4548246542836,1788.522743236226,1663.0669450150183,1620.5571290888238,1673.4351928018948,1603.9679326298212,1506.5064034331804,1505.4695786544928,1514.8010016626818,1447.4073910479833,1352.019511408718,1489.9172069741778,1557.310817588876,1332.3198406136523,1424.5972459168547,1541.758445908561,1530.3533733429967,1529.3165485643092,1693.1348635969605,1499.2486299823668,1555.237168031501,1754.307525539533,1426.67089547423,1530.3533733429967,1440.1496175971697,1500.2854547610546,1512.7273521053064,1461.9229379496107,1549.0162193593749,1460.8861131709232,1535.5374972364352,1553.1635184741256,1485.7699078594271,1513.7641768839942,1583.2314370560678,1540.7216211298735,1542.7952706872488,1564.5685910396899,1572.8631892691913,1594.636509621632,1601.894283072446,1593.5996848429445
2,2015,Belgium,2523.4522927891585,2589.0764076768082,2590.1017844719277,2573.6957557500155,2711.0962462960324,2796.202520290953,2965.389691485675,2844.3952296615707,2710.0708695009125,2519.3507856086803,2440.3967723844767,2440.3967723844767,2327.6053249213287,2217.890007843539,2274.2857315751135,2206.6108630972244,2139.9613714144552,2055.880474214654,2115.3523283315862,2026.1445471561874,1999.4847504830798,1953.342794702701,1991.2817361221234,2053.8297206244147,1948.2159107271034,1935.911389185669,2359.392005570034,1956.4189250880595,1842.6021008297919,1784.1556235079788,1822.0945649274013,2047.6774598536974,1898.9978245613659,1799.5362754347718,1967.6980698343743,1820.0438113371622,1965.6473162441353,1890.7948102004098,1981.0279681709283,2023.068416770829,2070.2357493463273,2111.250821151108,2089.7179084535983,2148.164385775411,2000.5101272781992,1983.0787217611673,2071.2611261414468,2072.286502936566,2042.5505758780998,2166.6211680875626,2137.910617824216,2082.5402708877614,2176.8749360387583
3,2015,Bulgaria,2413.9375898857543,2424.554668449826,2334.7920951354017,2257.5769783057895,2253.7162224643084,2215.1086640495023,2259.5073562265297,2446.7540145383396,2471.8489275079633,2383.0515431539093,2353.1306853824344,2279.7763243943027,2291.3585919187444,2186.152995238398,2186.152995238398,2163.9536491498843,2060.6784303902778,2085.773343359902,2032.6879505395434,1912.0393304932743,1914.9348973743847,1773.0521201999723,1900.4570629688324,1911.0741415329042,1837.7197805447724,1774.0173091603424,1761.4698526755303,1957.4032116306714,1833.8590247032919,2027.8620057376927,2063.573997271388,1929.412731779937,1871.5013941577279,1721.897105300354,1774.0173091603424,1906.2481967310534,1666.8813345592553,1820.3463792581097,1667.8465235196254,1768.2261753981213,1862.8146935143964,1941.9601882647491,1993.1152031643671,2111.833445289896,2019.1753050943614,2143.6846809821113,2042.339840143245,1956.4380226703013,1938.0994324232684,2052.9569187073166,2102.1815556861943,2082.8777764787915,2074.19107583546
4,2015,Croatia,1130.4385766650353,1204.3925022412525,1225.5221952630288,1182.3023686275772,1166.9353191571943,1236.087041773917,1254.3354130199966,1249.533210060502,1189.9858933627686,1166.9353191571943,1160.2122350139018,1183.2628092194761,1042.0780422103342,1092.020952989078,1035.3549580670415,985.4120472882975,999.8186561667814,978.688963145005,971.0054384098136,889.3679880984049,909.5372405282824,821.1767060735812,958.5197107151275,960.4405918989254,840.3855179115598,845.1877208710544,956.5988295313297,970.0449978179147,1007.5021809019728,1181.3419280356782,881.6844633632135,998.8582155748824,1023.8296709642544,794.2843695004113,892.2493098741016,874.961379219921,873.0404980361232,1015.1857056371641,855.7525673819425,890.3284286903039,877.8427009956179,907.6163593444845,911.4581217120802,915.2998840796758,964.2823542665211,913.3790028958781,900.8932752011921,917.2207652634737,943.1526612447448,915.2998840796758,900.8932752011921,992.1351314315899,1004.620859126276
5,2015,Cyprus,132.09866967018021,143.631093212815,162.50233173712644,161.45392959688692,152.0183103347312,164.5991360176055,140.4858867920964,135.2438760908988,149.92150605425215,147.82470177377309,158.30872317616834,124.75985468850354,113.22743114586875,117.42103970682686,127.90506110922212,118.46944184706638,134.19547395065928,123.711452548264,111.1306268653897,96.45299690203635,99.59820332275493,90.16258406059919,97.50139904227588,107.98542044467112,102.7434097434735,122.66305040802449,84.92057335940157,105.88861616419207,117.42103970682686,121.61464826778496,116.37263756658733,114.27583328610828,97.50139904227588,110.08222472515018,96.45299690203635,126.85665896898259,104.84021402395256,106.9370183044316,101.69500760323398,88.06577978012014,76.53335623748536,99.59820332275493,103.79181188371302,107.98542044467112,92.25938834107825,116.37263756658733,111.1306268653897,128.95346324946163,114.27583328610828,118.46944184706638,130.00186538970115,123.711452548264,120.56624612754543
6,2015,Czechia,2413.1261465467546,2467.9237966365463,2431.392029910018,2535.9134735998064,2618.109948734494,2636.3758320977577,2772.3551860242783,2723.646163722241,2647.538316375308,2391.8159492896134,2324.841043624312,2306.5751602610485,2254.821824065134,2241.6297971916656,2142.182209991673,2215.2457434447288,2225.39345642432,2071.148219134536,2017.3653403427031,2012.2914838529075,2022.4391968324985,2058.9709635590266,2024.4687394284167,1913.8586679508742,1787.012255705986,1917.9177531427106,2080.281160816168,2170.595806334528,1971.7006319345433,2140.152667395755,1913.8586679508742,2187.8469183998327,2558.238442154907,1839.7803631998595,1991.9960578937255,2018.380111640662,1950.390434677402,1989.9665152978073,1943.2870355916882,2036.6459950039261,2065.059591346781,2110.724299754941,2128.9901831182046,2045.778936685558,2049.8380218773946,2052.8823357712718,2004.1733134692347,2008.232398661071,2048.8232505794354,2078.2516182202494,2038.6755375998443,2058.9709635590266,2187.8469183998327
7,2015,Denmark,1159.4671994967946,1139.91983765967,1124.4877098935194,1098.7674969499349,1117.2860502693156,1150.207922837104,1137.8622206241835,1163.582433567768,1210.9076253839637,1244.8583064694953,1218.1092850081675,1117.2860502693156,1124.4877098935194,1074.0760925240936,1112.1420076805987,1082.3065606660407,960.9071555723212,1024.693283672411,1006.1747303530302,947.5326448416572,1002.0594962820567,1005.1459218352868,986.6273685159059,1046.2982625450222,939.3021766997101,922.8412404158161,969.1376237142683,978.3969003739588,943.4174107706837,978.3969003739588,974.2816663029853,955.7631129836043,980.4545174094455,952.6766874303742,926.9564744867896,904.3226870964351,939.3021766997101,969.1376237142683,990.7426025868793,986.6273685159059,953.7054959481176,975.3104748207286,1025.7220921901544,1021.606858119181,998.9730707288264,1013.3763899772339,1014.4051984949773,1114.1996247160855,1136.83341210644,1062.7591988289164,1053.4999221692258,1022.6356666369243,1014.4051984949773
8,2015,Estonia,357.7977320951881,343.64753930046317,297.15404868922406,324.44370622190786,332.5295306760364,335.5617148463346,327.47589039220605,335.5617148463346,327.47589039220605,358.8084601519542,344.65826735722925,334.5509867895685,320.4007939948436,307.2613292568847,314.3364256542472,300.18623285952225,305.23987314335255,267.842935043008,280.98239978096694,336.5724429031007,286.0360400647973,288.0574961783294,292.1004084053937,269.8643911565402,288.0574961783294,241.56400556709028,279.97167172420086,252.68201419151703,238.53182139679208,240.55327751032422,261.77856670241164,278.9609436674348,292.1004084053937,263.8000228159438,261.77856670241164,250.6605580779849,304.2291450865865,288.0574961783294,295.1325925756919,304.2291450865865,319.39006593807756,299.17550480275617,281.993127837733,272.8965753268384,279.97167172420086,288.0574961783294,258.74638253211344,285.0253120080312,260.76783864564555,308.2720573136508,321.41152205160967,269.8643911565402,270.8751192133063
9,2015,Europe**,118684.57130750726,128575.12064543643,126348.25674301577,123857.68527320318,125866.30843019605,126425.04515344407,130273.55903925184,130526.15249460808,128446.80317011545,122892.77827374233,118109.66860311644,114678.43910555719,112348.51707335118,107993.80590300949,107736.16057854613,108911.22533286338,104934.39397173464,101641.58568771061,99834.02692118131,98806.4767447921,96943.34741808444,93506.05567759664,100215.94822567997,96882.72498879893,92846.28157220612,93517.16978963232,102680.2499761355,101150.54401049807,98459.91852404334,101429.40718521137,94018.3152050591,99006.53076143426,98537.71730829307,91082.1688799981,94075.90651288033,92544.17979960005,92706.84998484947,95405.55846187561,93836.4479172026,96322.97789172949,98608.44347579281,99777.44598718152,101665.83465942481,101024.24728281995,101124.27429114102,100258.38392617981,100468.54168103621,101309.1727004618,103882.59482363123,103996.76706545225,105620.4377964822,103174.32277481232,105529.50415255396
