,basic_mean,weighted_mean,europe_as_country
0,0.8591478927234991,0.8511887457105227,0.8413819056491163
1,0.7956560763289747,0.8101522530549724,0.8066658751040415
2,0.841168570941819,0.8433326690345047,0.8357874290488929
3,0.8064212860332971,0.8180425736355553,0.8137603981404831
4,0.7794837995452663,0.7938238139757462,0.7912203265873335
5,0.859402938637967,0.8585691042602442,0.84899566306402
6,0.7984926503089806,0.8121961470211456,0.8085095864492604
7,0.8301935866128368,0.8359081663495485,0.8295205857141488
8,0.8465010305605215,0.8498589181217175,0.8418169710401602
9,0.8422383889090412,0.8460659178957273,0.8384719057300153
10,0.8654301560728076,0.856249580491833,0.8456907609970774
11,0.8100796462846199,0.8216080551020508,0.817059156338923
12,0.7955990521126299,0.8070917078381739,0.803522053993069
13,0.787439779479938,0.8008155513227888,0.7977763066101485
14,0.7816365767542623,0.7949812754585666,0.7922463946524964
15,0.8392426800154851,0.8467904495044499,0.8396142463104326
16,0.8560942317807821,0.858690268166007,0.8495964419292494
17,0.7972036729478124,0.8115244797727552,0.8079371084408455
18,0.8299195051602778,0.8357592066534628,0.82940054017368
19,0.8244088386373694,0.833052945152607,0.8272711665311775
20,0.8163220218213425,0.8222606955844485,0.8170503174265864
21,0.7706727713176699,0.7866543741687106,0.7844802689889252
22,0.806767329361895,0.8189211085817952,0.8146308578105407
23,0.7662524112878268,0.7818960327166055,0.7798876832877095
24,0.966809656227968,0.9146806150315434,0.888311300899542
25,0.8429358313990235,0.8457411555912768,0.8380428248036567
26,0.820985301806699,0.8260136886960124,0.8203953074075533
27,0.7826146112454625,0.796211488100288,0.7934336853014219
28,0.7869328800546779,0.8018874956615543,0.7989177803994556
29,0.8060776225466416,0.8182199456818325,0.813978019306188
30,0.7778541387018326,0.792812127528281,0.7903010809420918
31,0.7987792047207511,0.8099139540145848,0.8061327140885557
32,0.7890431842134241,0.8006784409448131,0.7975008256975984
33,0.8024058173499716,0.8134207767994625,0.809396846951279
34,0.8101724750707145,0.8194160769569557,0.8147873539948861
35,0.7733756340025276,0.786978733208674,0.7846379051988717
36,0.7791984165638166,0.7934377095759869,0.7908454894936912
37,0.8136155305733982,0.8252049820821381,0.8203925163110716
38,0.7965495073581124,0.8083357403632128,0.8047157890205174
39,0.8323665621326963,0.8421544274519426,0.8357030731450162
40,0.7954268822961634,0.8063160992730868,0.8027388019773057
41,0.7873836732759328,0.7999448706542847,0.7968862193607641
42,0.8002344280084145,0.8120630756839313,0.8082084132351413
43,0.876213373575134,0.8714631783940385,0.8597633469866592
44,0.791674723454143,0.8052453478843851,0.8019716460714551
45,0.8206636250446441,0.8327238990059325,0.8273662030417505
46,0.7976678184648348,0.8090893224205515,0.8053879088072635
47,0.8806508099881724,0.8763510636252241,0.8640972514430106
48,0.821548654133938,0.8322089067203555,0.8267336002056679
49,0.8338946027785151,0.8388158883417594,0.8320626132840253
50,0.8183895791557538,0.8302917672632014,0.8251142983939416
51,0.800822791201832,0.8114982641547873,0.8075694305961407
52,0.7910639024362373,0.8043339796413044,0.8010873846179851
53,0.7898281838470167,0.8018274849917008,0.798615830163308
54,0.8001358218265006,0.8139735293046384,0.8101847665866703
55,0.8235609763819588,0.8323323621952456,0.826626928917877
56,0.8850457565080748,0.8754046655582264,0.8624284072914372
57,0.8861292483460164,0.8838361171437115,0.8709069164964179
58,0.8098065567589577,0.8203461224597852,0.815786139972937
59,0.7859078271386296,0.7991327969807508,0.7961726763359934
60,0.8176725101779292,0.8280033814276953,0.8228335408492031
61,0.7924040214321687,0.801225460075903,0.7977662084482597
62,0.8698779425669142,0.8602983208870196,0.8492085845312886
63,0.7726979479870275,0.7880065821133471,0.7857339870804799
64,0.8101201464668435,0.8192290807047634,0.8145998026740997
65,0.7731200177572963,0.7893951585710777,0.7871250386272293
66,0.8124060110401518,0.8229281725060064,0.8181739382920983
67,0.8191620315431708,0.8315210295220586,0.8262954528744314
68,0.8467056960961331,0.8456127676954167,0.8373944259104692
69,0.7917861330950801,0.8054123173188432,0.8021336581618055
70,0.8667457405427991,0.8618263280138503,0.8512720356959755
71,0.7869511939936266,0.7997372747056007,0.7967085968676867
72,0.7659160867389642,0.7813985214651322,0.7793995613953738
73,0.7588094020685101,0.7754904333509448,0.7737535663926528
74,0.7678575147669505,0.7836900388345069,0.7816245189077964
75,0.795262037817079,0.8060305709591387,0.8024597480679146
76,0.8265514007082998,0.8326406107516411,0.826588247634364
77,0.8077529210752867,0.8221842100602016,0.817892278090364
78,0.8156017705636429,0.8268991887301587,0.8219238566105433
79,0.8238902864806845,0.8293556454276144,0.8235101522398078
80,0.8518044910764208,0.8571380625884479,0.8485993279799348
81,0.8167700563565444,0.8246693831327089,0.8194914892082861
82,0.779929680946095,0.7948263085989847,0.7922148384842491
83,0.7984011728641345,0.8112524031081588,0.8075469112186403
84,0.8580740181954777,0.8602054334817385,0.8508757591306175
85,0.8156379515963871,0.8235192733863247,0.818429848378712
86,0.8243813744102035,0.833550095088261,0.8277878285320476
87,0.8429910465759198,0.8491170296453643,0.8415231141190395
88,0.8208002265613173,0.8311755769103757,0.8257531331749176
89,0.8256705074015773,0.8355437945018016,0.8296934833841618
90,0.799487339982095,0.8114302325799676,0.807627751458442
91,0.8263843318515174,0.8326885162224211,0.8266580575479829
92,0.8712234984556844,0.8735107357182341,0.8626308055858216
93,0.7969635617159927,0.8082598732034192,0.8045991809985485
94,0.7964067372828948,0.8071625220027562,0.8035202488084864
95,0.7882039103534186,0.8014900117324317,0.7984060962066795
96,0.8088721288757307,0.8166111160368201,0.8120274120221588
97,0.7966100897436036,0.8088456350320202,0.8052352592548345
98,0.7752886279523192,0.7909673734991919,0.7885900226353749
99,0.8375289478183532,0.8407329029650521,0.833577367170808
100,0.9109400317757851,0.8863557061912647,0.869373470829491
101,0.8424618452972942,0.8447892670824975,0.8371217455667574
102,0.8154335854149338,0.8280498823411595,0.8231289518161006
103,0.8761784313543708,0.8662693417350344,0.8544096404705618
104,0.7640712593935223,0.7789591615556247,0.7770158102985201
105,0.8236088002529499,0.8296236842145608,0.8238212704767889
106,0.8311094800318594,0.8401028009462139,0.8337410501237682
107,0.787944049271826,0.800686410901529,0.7976018653878285
108,0.8262870455255659,0.8330443262979873,0.8270377533280973
109,0.8721748796470769,0.868946858280551,0.857793647392222
110,0.8983797555569849,0.8789109419729132,0.863845800004868
111,0.7946855825674413,0.8054243033957409,0.8018879522642797
112,0.8234454893215671,0.8310779884286751,0.8253445747639512
113,0.8014227373819548,0.8128891834367813,0.8089450107318826
114,0.798531933235327,0.81042759440497,0.8066853459621829
115,0.8040631313128065,0.8161459121447479,0.8120421067987482
116,0.7701413107600795,0.7859405477733952,0.7837842992380757
117,0.767514364978157,0.7836321388692333,0.7815852517121568
118,0.8523944327227717,0.8542516997417119,0.845539035725884
119,0.7761940395210176,0.7897159527774308,0.7872471154282207
120,0.7916975881337004,0.8039628031430144,0.8006507365759152
121,0.7910517887869618,0.8043576140259235,0.8011127198166547
122,0.8265248820162429,0.8335307619108752,0.8275119009457378
123,0.7734300628771711,0.7882878839264542,0.7859738699567334
124,0.7644144092852267,0.7791949776991616,0.7772371676009353
125,0.82620401457353,0.8354280632121225,0.8295104503520505
126,0.8004501515464894,0.8144440999305614,0.8106393117895768
127,0.8198802382793031,0.8321307697405471,0.8268433211730966
128,0.7991595702420998,0.809823278919644,0.8060029276066955
